PROBATION_AREA_DESCRIPTION,PAR_Trim,NOMS_REGION_DESCRIPTION,prob_area,NPS_Division,CRC_Area,NPS_CRC_NAME,SUP_BODY
NPS - Eastern Herts,NPS - Eastern Herts,NPS-South East and Eastern,NPS - Eastern Herts,South East & Eastern,,South East & Eastern,b. NPS
NPS - Harrow & Hillingdon,NPS - Harrow & Hillingdon,PS-London,NPS - Harrow & Hillingdon,London,,London,b. NPS
NPS - Ipswich & Bury St Edmunds,NPS - Ipswich & Bury St Edmunds,NPS-South East and Eastern,NPS - Ipswich & Bury St Edmunds,South East & Eastern,,South East & Eastern,b. NPS
NPS - Kent,NPS - Kent,PS-Kent Surrey Sussex,NPS - Kent,South East & Eastern,,Kent Surrey Sussex,b. NPS
NPS - Luton,NPS - Luton,NPS-South East and Eastern,NPS - Luton,South East & Eastern,,South East & Eastern,b. NPS
NPS - Manchester City Central,NPS - Manchester City Central,PS-Greater Manchester,NPS - Manchester City Central,North West,,Greater Manchester,b. NPS
NPS - Mansfield and Ashfield,NPS - Mansfield and Ashfield,NPS-Midlands,NPS - Mansfield and Ashfield,Midlands,,Midlands,b. NPS
NPS - Mid Essex,NPS - Mid Essex,NPS-South East and Eastern,NPS - Mid Essex,South East & Eastern,,South East & Eastern,b. NPS
NPS - Milton Keynes,NPS - Milton Keynes,NPS-South West & South Central,NPS - Milton Keynes,South West,,South West & South Central,b. NPS
NPS - Norfolk and Suffolk,NPS - Norfolk and Suffolk,PS-East of England,NPS - Norfolk and Suffolk,South East & Eastern,,East of England,b. NPS
NPS - North and East Devon,NPS - North and East Devon,NPS-South West & South Central,NPS - North and East Devon,South West,,South West & South Central,b. NPS
NPS - North East Essex,NPS - North East Essex,NPS-South East and Eastern,NPS - North East Essex,South East & Eastern,,South East & Eastern,b. NPS
NPS - North Kent,NPS - North Kent,NPS-South East and Eastern,NPS - North Kent,South East & Eastern,,South East & Eastern,b. NPS
NPS - North Northants,NPS - North Northants,NPS-South East and Eastern,NPS - North Northants,South East & Eastern,,South East & Eastern,b. NPS
NPS - North West Lancashire,NPS - North West Lancashire,PS-North West,NPS - North West Lancashire,North West,,North West,b. NPS
NPS - Norwich & Kings Lynn,NPS - Norwich & Kings Lynn,NPS-South East and Eastern,NPS - Norwich & Kings Lynn,South East & Eastern,,South East & Eastern,b. NPS
NPS - Nottingham City,NPS - Nottingham City,NPS-Midlands,NPS - Nottingham City,Midlands,,Midlands,b. NPS
NPS - Nth Somerset,NPS - Nth Somerset,PS-South West,NPS - Nth Somerset,South West,,South West,b. NPS
NPS - Oxfordshire,NPS - Oxfordshire,NPS-South West & South Central,NPS - Oxfordshire,South West,,South West & South Central,b. NPS
NPS - Peterborough,NPS - Peterborough,NPS-South East and Eastern,NPS - Peterborough,South East & Eastern,,South East & Eastern,b. NPS
NPS - Plymouth,NPS - Plymouth,NPS-South West & South Central,NPS - Plymouth,South West,,South West & South Central,b. NPS
"NPS - Plymouth, Cornwall & IOS","NPS - Plymouth, Cornwall & IOS",PS-South West,"NPS - Plymouth, Cornwall & IOS",South West,,South West,b. NPS
"NPS - Ports, Soton & IOW","NPS - Ports, Soton & IOW",PS-South Central,"NPS - Ports, Soton & IOW",South West,,South Central,b. NPS
NPS - Portsmouth & Isle of Wight,NPS - Portsmouth & Isle of Wight,NPS-South West & South Central,NPS - Portsmouth & Isle of Wight,South West,,South West & South Central,b. NPS
NPS - Redbridge & Waltham Forest,NPS - Redbridge & Waltham Forest,PS-London,NPS - Redbridge & Waltham Forest,London,,London,b. NPS
NPS - Somerset & North Somerset,NPS - Somerset & North Somerset,NPS-South West & South Central,NPS - Somerset & North Somerset,South West,,South West & South Central,b. NPS
NPS - South Devon,NPS - South Devon,NPS-South West & South Central,NPS - South Devon,South West,,South West & South Central,b. NPS
NPS - South East Essex and Southend,NPS - South East Essex and Southend,NPS-South East and Eastern,NPS - South East Essex and Southend,South East & Eastern,,South East & Eastern,b. NPS
NPS - South Essex,NPS - South Essex,NPS-South East and Eastern,NPS - South Essex,South East & Eastern,,South East & Eastern,b. NPS
